scenario,variant,C1_tau,C2_group,C3_maxgap,C4_delta,C5_corridor,success,blocked,v_avg,t_arrive,s_end,s_target,jerk_rms,a_y_max,kappa_rms,l_max_dev,tau_violation,decision_switches,qp_path_ms,qp_speed_ms,qp_total_ms
01_crossing_ped,M0_baseline,0,0,0,0,0,0,0,3.9014,10.0,19.3896,24.0,2.0433,0.0,0.0,0.0,0,0,0.0596,5.0875,5.1471
01_crossing_ped,M1_no_C1,0,1,1,1,1,0,0,3.9014,10.0,19.3896,24.0,2.0433,0.0,0.0,0.0,0,0,0.0432,4.9667,5.0098
01_crossing_ped,M2_no_C2C3,1,0,0,1,1,1,0,4.8162,5.0,24.0,24.0,1.5395,0.6152,0.006779,0.6843,0,1,0.197,7.7354,7.9324
01_crossing_ped,M3_no_C4,1,1,1,0,1,1,0,4.8162,5.0,24.0,24.0,1.5395,0.5936,0.00654,0.6602,0,1,0.2012,7.6409,7.8421
01_crossing_ped,M4_no_C5,1,1,1,1,0,1,0,4.7882,5.0,24.0,24.0,0.604,1.0665,0.006779,0.6843,0,1,0.1942,2.5676,2.7618
01_crossing_ped,M5_full,1,1,1,1,1,1,0,4.8162,5.0,24.0,24.0,1.5395,0.6152,0.006779,0.6843,0,1,0.1966,7.7469,7.9435
02_ped_plus_parked,M0_baseline,0,0,0,0,0,0,1,2.4991,11.5,16.0,31.0,2.5728,0.0,0.0,0.0,0,0,0.0538,47.3525,47.4063
02_ped_plus_parked,M1_no_C1,0,1,1,1,1,0,0,3.4029,11.5,21.7798,31.0,3.6042,0.1716,0.002421,0.5146,0,1,0.2601,110.8326,111.0927
02_ped_plus_parked,M2_no_C2C3,1,0,0,1,1,0,0,3.4029,11.5,21.7798,31.0,3.6042,0.2979,0.006877,0.6591,0,1,0.2218,108.1968,108.4186
02_ped_plus_parked,M3_no_C4,1,1,1,0,1,0,0,3.4029,11.5,21.7798,31.0,3.6042,0.2752,0.00637,0.6401,0,3,0.1857,107.8848,108.0706
02_ped_plus_parked,M4_no_C5,1,1,1,1,0,1,0,4.7649,6.5,31.0,31.0,0.4001,1.3367,0.006877,0.6591,0,1,0.2109,2.0685,2.2794
02_ped_plus_parked,M5_full,1,1,1,1,1,0,0,3.4029,11.5,21.7798,31.0,3.6042,0.2979,0.006877,0.6591,0,1,0.2186,109.4881,109.7068
03_narrow_cones,M0_baseline,0,0,0,0,0,0,1,1.68,19.0,16.0,49.0,0.1895,0.0,0.0,0.0,0,0,0.0713,8.5847,8.656
03_narrow_cones,M1_no_C1,0,1,1,1,1,1,0,3.5013,14.0,49.0,49.0,0.0332,0.0,0.0,0.0,0,0,0.0655,2.9475,3.0131
03_narrow_cones,M2_no_C2C3,1,0,0,1,1,1,0,3.5013,14.0,49.0,49.0,0.0332,0.0,0.0,0.0,0,0,0.0662,2.9223,2.9885
03_narrow_cones,M3_no_C4,1,1,1,0,1,0,1,1.68,19.0,16.0,49.0,0.1895,0.0,0.0,0.0,0,0,0.069,8.3198,8.3888
03_narrow_cones,M4_no_C5,1,1,1,1,0,1,0,3.5013,14.0,49.0,49.0,0.0332,0.0,0.0,0.0,0,0,0.0616,2.9517,3.0133
03_narrow_cones,M5_full,1,1,1,1,1,1,0,3.5013,14.0,49.0,49.0,0.0332,0.0,0.0,0.0,0,0,0.062,2.9857,3.0477
04_dense_construction,M0_baseline,0,0,0,0,0,0,1,2.241,20.0,23.0,84.0,0.2804,0.1229,0.011027,3.5125,0,69,0.2441,8.2938,8.5379
04_dense_construction,M1_no_C1,0,1,1,1,1,1,0,5.601,15.0,84.0,84.0,0.0251,1.9331,0.01355,3.8346,0,7,1.4926,3.3174,4.81
04_dense_construction,M2_no_C2C3,1,0,0,1,1,0,1,2.241,20.0,23.0,84.0,0.2804,0.1249,0.011211,3.5713,0,29,0.2606,8.3326,8.5933
04_dense_construction,M3_no_C4,1,1,1,0,1,1,0,5.601,15.0,84.0,84.0,0.0251,1.9939,0.014008,3.9358,0,19,1.6577,3.2112,4.8689
04_dense_construction,M4_no_C5,1,1,1,1,0,1,0,5.601,15.0,84.0,84.0,0.0251,1.9331,0.01355,3.8346,0,7,1.5091,3.252,4.7611
04_dense_construction,M5_full,1,1,1,1,1,1,0,5.601,15.0,84.0,84.0,0.0251,1.9331,0.01355,3.8346,0,7,1.532,3.2872,4.8193
