spatial_layers,repeat,spatial_homotopies,domain_size,evaluated_candidates,expanded_spatial_branches,status,absolute_gap,runtime_ms
1,0,2,2,1,1,optimal,0.0,19.131300010485575
1,1,2,2,1,1,optimal,0.0,18.254898983286694
1,2,2,2,1,1,optimal,0.0,18.16510400385596
2,0,4,5,4,3,optimal,0.0,73.94894000026397
2,1,4,5,4,3,optimal,0.0,71.9056689995341
2,2,4,5,4,3,optimal,0.0,72.23475101636723
3,0,8,10,5,4,optimal,0.0,204.69805799075402
3,1,8,10,5,4,optimal,0.0,201.24702699831687
3,2,8,10,5,4,optimal,0.0,201.48345999768935
4,0,16,20,3,3,optimal,0.0,358.3641689911019
4,1,16,20,3,3,optimal,0.0,358.9247140043881
4,2,16,20,3,3,optimal,0.0,358.24682301608846
5,0,32,40,3,3,optimal,0.0,606.6897290002089
5,1,32,40,3,3,optimal,0.0,600.4180430027191
5,2,32,40,3,3,optimal,0.0,599.0353479865007
