case_kind,method,label,n,success_rate,collision_rate,progress_ratio_mean,runtime_p95_ms
crossing_pedestrian,A1,w/o arrival projection,100,1.0,0.0,0.9999999999999999,24.322917619429052
crossing_pedestrian,A2,w/o longitudinal grouping,100,1.0,0.0,0.9999999999999999,24.65753169381059
crossing_pedestrian,A3,w/o Top-K spatial homotopy,100,1.0,0.0,0.9999999999999999,24.877765463315875
crossing_pedestrian,A4,w/o threat-aware margin,100,1.0,0.0,0.9999999999999999,24.703360629791852
crossing_pedestrian,A5,w/o temporal homotopy graph,100,0.47,0.0,0.6172265737619195,47.324883341207126
crossing_pedestrian,A6,w/o robust occupancy tube,100,1.0,0.0,0.9999999999999999,24.478583085874554
crossing_pedestrian,A7,w/o alternating refinement,100,1.0,0.0,0.9999999999999999,24.042314547114064
crossing_pedestrian,MIKU,MIKU,100,1.0,0.0,0.9999999999999999,24.12245213490677
vehicle_cut_in,A1,w/o arrival projection,100,0.82,0.0,0.930052855281788,39.02036630315703
vehicle_cut_in,A2,w/o longitudinal grouping,100,0.82,0.0,0.9232824415588496,50.01884045777842
vehicle_cut_in,A3,w/o Top-K spatial homotopy,100,0.82,0.0,0.9232824415588496,49.82546594546874
vehicle_cut_in,A4,w/o threat-aware margin,100,0.82,0.0,0.9175607237279781,49.67987009586067
vehicle_cut_in,A5,w/o temporal homotopy graph,100,0.82,0.0,0.9232824415588496,50.22496094898087
vehicle_cut_in,A6,w/o robust occupancy tube,100,0.82,0.0,0.9232824415588496,49.87303450034232
vehicle_cut_in,A7,w/o alternating refinement,100,0.79,0.0,0.9016374503242086,30.56302578770555
vehicle_cut_in,MIKU,MIKU,100,0.82,0.0,0.9232824415588496,49.88351103384047
parked_and_oncoming,A1,w/o arrival projection,100,0.68,0.0,0.7921724478770265,60.68769264238654
parked_and_oncoming,A2,w/o longitudinal grouping,100,0.65,0.0,0.7511267164783605,59.503200263134204
parked_and_oncoming,A3,w/o Top-K spatial homotopy,100,0.58,0.0,0.6990343660902303,58.981736267742235
parked_and_oncoming,A4,w/o threat-aware margin,100,0.57,0.0,0.6980314122250572,82.42894288705428
parked_and_oncoming,A5,w/o temporal homotopy graph,100,0.67,0.0,0.7795134731791664,57.65199790184851
parked_and_oncoming,A6,w/o robust occupancy tube,100,0.67,0.0,0.7795134731791664,57.606275862781324
parked_and_oncoming,A7,w/o alternating refinement,100,0.67,0.0,0.7795134731791664,58.316936784831334
parked_and_oncoming,MIKU,MIKU,100,0.67,0.0,0.7795134731791664,57.599530456354834
narrow_multi_obstacle,A1,w/o arrival projection,100,0.74,0.0,0.830256417067791,30.656374433601723
narrow_multi_obstacle,A2,w/o longitudinal grouping,100,0.74,0.0,0.830256417067791,30.672638330725004
narrow_multi_obstacle,A3,w/o Top-K spatial homotopy,100,0.05,0.0,0.39243592208763844,58.205236301000696
narrow_multi_obstacle,A4,w/o threat-aware margin,100,0.01,0.0,0.34769233344372596,53.6626142435125
narrow_multi_obstacle,A5,w/o temporal homotopy graph,100,0.74,0.0,0.830256417067791,30.750090804940537
narrow_multi_obstacle,A6,w/o robust occupancy tube,100,0.74,0.0,0.830256417067791,30.777143973682524
narrow_multi_obstacle,A7,w/o alternating refinement,100,0.74,0.0,0.830256417067791,30.597300939552934
narrow_multi_obstacle,MIKU,MIKU,100,0.74,0.0,0.830256417067791,30.49975264875682
interleaved_dynamic,A1,w/o arrival projection,100,1.0,0.0,1.0,46.73967411072226
interleaved_dynamic,A2,w/o longitudinal grouping,100,1.0,0.0,1.0,42.41846728546079
