case_kind,method,n,success_rate,reach_rate,collision_rate,degraded_stop_rate,min_clearance_mean_m,min_ttc_mean_s,arrival_time_success_mean_s,progress_ratio_mean,average_speed_mean_mps,path_length_mean_m,max_longitudinal_acceleration_mean_mps2,max_lateral_acceleration_mean_mps2,jerk_rms_mean_mps3,time_window_violations_mean,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms
crossing_pedestrian,B0,100,0.95,0.95,0.0,0.05,0.10520456066865845,0.10141986494394917,9.0,0.997714001651937,3.4365704630534073,30.92913416748067,2.360397672384757,0.0,0.9834107682873033,0.0,8.718036999198375,48.17439634498441,107.10947095190942
crossing_pedestrian,B1,100,0.81,0.81,0.0,0.19,0.4740725121951843,0.32836399531912497,9.0,0.9142890183711166,3.149434210809203,28.344907897282837,2.5212033950154513,0.06967328426535933,1.0796466801519269,0.0,9.947503996954765,84.6729686974868,129.24352552261607
crossing_pedestrian,B2,100,0.96,0.96,0.0,0.04,0.17560043792416682,0.14689704533743989,8.997916666666667,0.9910592262628376,3.4147659622305584,30.72592450914849,2.148495047900258,0.11844634585682394,0.8869848601162336,0.0,31.30563449667534,152.92359784798458,383.5560697662009
crossing_pedestrian,MIKU,100,0.78,0.78,0.0,0.22,0.5266838753505926,0.3567131075908873,9.0,0.8978374500285351,3.092766950880194,27.83490255792175,2.5419909999753107,0.07250460356215466,1.0874964584267737,0.0,10.515791000216268,83.6014273965702,128.10161867841146
vehicle_cut_in,B0,100,0.84,0.86,0.03,0.14,2.438440516291037,1.6574290419927513,10.0,0.9829455735138777,4.0300768514467435,40.30076851446742,1.6235033302885409,0.0,0.5092858639727872,0.03,7.758974501484772,33.47282524919136,51.670841180748546
vehicle_cut_in,B1,100,0.82,0.84,0.03,0.16,2.5577067225519814,1.691592579757824,10.0,0.9659678203402177,3.960468186182354,39.60468186182353,1.6582500369211541,0.0,0.5479094431146205,0.03,7.799900500685908,38.88568170004873,60.028391187588696
vehicle_cut_in,B2,100,0.84,0.86,0.03,0.14,2.4773810770684412,1.671104553876212,10.0,0.977187270561055,4.006467809340171,40.06467809340169,1.6269933435299495,0.0,0.53502913106986,0.03,23.7084974978643,100.25808260106713,145.54084115217856
vehicle_cut_in,MIKU,100,0.81,0.83,0.03,0.17,2.5987241910662404,1.7041964892735582,10.0,0.961264075112825,3.9412010580177634,39.41201058017762,1.672959849217346,0.00073650605657987,0.5507059773997789,0.03,7.730832003289834,42.15417359519049,86.62657684348248
parked_and_oncoming,B0,100,0.53,0.53,0.0,0.47,0.1830168405086896,1.5572978198290648,10.0,0.7784328697094749,3.6623484918081073,36.62348491808108,1.3832631644471554,0.3873710482275969,0.5947033096688071,0.0,5.355361001420533,105.43568079883697,263.4083109573112
parked_and_oncoming,B1,100,0.46,0.46,0.0,0.54,0.24397052350147105,1.7129155908929707,10.0,0.7007797116514634,3.2972661264101624,32.97266126410162,1.6996830351021786,0.34188516915082423,0.906061638261437,0.0,7.907538496510824,208.1154072027856,264.69403858311125
parked_and_oncoming,B2,100,0.5,0.5,0.0,0.5,0.23873030863180403,1.6287118153482507,10.0,0.7422003319309749,3.4918258782553586,34.918258782553586,1.5255255015556002,0.3610674650408262,0.7776844413428775,0.0,24.170050499378704,482.55261150152353,532.4671331159344
parked_and_oncoming,MIKU,100,0.59,0.59,0.0,0.41,0.1660236023535861,1.287036557906038,10.0,0.8191298811180683,3.8533133216733564,38.53313321673356,1.2346486894003912,0.37028797577926376,0.510063635933306,0.0,5.206280999118462,97.2152864498639,211.9041239666697
narrow_multi_obstacle,B0,100,0.01,0.01,0.0,0.99,0.9300175564211395,5.795012030750835,12.0,0.3476937157166187,1.1302879293234895,13.563455151881874,1.4853119665813421,0.024461409587534733,0.46000829424282935,0.0,85.37493750191061,131.78856504637224,154.7251780419175
narrow_multi_obstacle,B1,100,0.01,0.01,0.0,0.99,0.9559528972225704,5.4281839349972545,12.0,0.3476937157166187,1.1305133038342774,13.56615964601133,1.4853119665813421,0.03289781128388803,0.46000829424282935,0.0,84.37736549967667,130.7662031995278,154.3521375909769
narrow_multi_obstacle,B2,100,0.01,0.01,0.0,0.99,0.9559528972225704,5.4281839349972545,12.0,0.3476937157166187,1.1305133038342774,13.56615964601133,1.4853119665813421,0.03289781128388803,0.46000829424282935,0.0,252.5420630008739,394.2082244040648,481.0091424125133
narrow_multi_obstacle,MIKU,100,0.74,0.74,0.0,0.26,0.4102627892286674,2.514886019408687,12.0,0.8302567450701518,2.698483290031463,32.38179948037755,0.7521530817944864,0.020874081675034385,0.21588189392563917,0.0,7.208532995718997,100.47875249729258,114.09416059192179
interleaved_dynamic,B0,100,1.0,1.0,0.0,0.0,0.004841546085949233,0.022369551355440914,14.0,0.9999999886674421,3.1428571460157957,44.00000004422114,2.6591534280017792,0.0,0.887306462507083,0.0,14.88788300048327,76.80929740090498,107.1189618187782
interleaved_dynamic,B1,100,0.77,0.77,0.0,0.23,0.15235755918438382,0.1494395666835789,14.0,0.8545455925107899,2.6859804888298,37.60372684361719,2.7631093277297536,0.049923289561780874,0.9119183235769015,0.0,19.296125497930916,106.81867389866964,154.67469682123956
interleaved_dynamic,B2,100,0.99,1.0,0.01,0.0,0.009450203546755876,0.030343685921980487,14.0,0.9999999886674421,3.1430061333875834,44.002085867426175,2.5883183595306423,0.03834142338790313,0.8604662502325746,0.01,51.877762998628896,269.67638220194203,324.6295171169914
interleaved_dynamic,MIKU,100,0.76,0.77,0.01,0.23,0.17251378741676693,0.16729755357806972,14.0,0.8528410704774396,2.680656329056317,37.52918860678842,2.772507621040683,0.055362669294190356,0.9150261816459448,0.01,19.673910497658653,110.56940684611618,125.96125145777529
prediction_noise,B0,100,0.33,0.46,0.14,0.54,6.5785693559844285,2.5404182647628906,10.0,0.6355328415589182,2.6051931506723163,26.051931506723157,2.7238379514244384,0.008233758183088143,2.123144805803865,0.15,8.418044501013355,24.793403554213,49.97554635490817
prediction_noise,B1,100,0.3,0.42,0.13,0.58,6.748340107934533,2.5784036840905666,10.0,0.6152890969625873,2.5221954089215717,25.221954089215714,2.773640259112656,0.008796180359148479,2.1429451181976575,0.14,8.678348000103142,41.699515604341286,54.29868869810896
