"Title","Journal","Year","Authors","DOI","PMID","Abstract"
"Baidu apollo em motion planner","ACI CONCRETE INTERNATIONAL","2022","","10.14359/51737307",,
"Quantitative analysis of the impact of Baidu Apollo parameterization on trajectory planning in a critical scenario","TRANSPORTATION RESEARCH PROCEDIA","2023","Li, Hexuan; De Cristofaro, Francesco; Orucevic, Faris; Gu, Zhengguo; Eichberger, Arno","10.1016/j.trpro.2023.11.897","41285133",
"Adaptive Sampling Control in Motion Planning of Autonomous Vehicle","APPLIED MECHANICS AND MATERIALS","2014","Wang, Lin Lin; Wang, Hong Jian; Pan, Li Xin","10.4028/www.scientific.net/amm.670-671.1370",,
"Is My Route Well-Planned? A Visual Analytics Approach for Evaluating Planning Behaviors of Autonomous Driving","IEEE COMPUTER GRAPHICS AND APPLICATIONS","2024","Routray, Sudhir K.","10.1109/mcg.2024.3381450","38526907","Autonomous driving is no longer a topic of science fiction. Advancements of autonomous driving technologies are now reliable. Effectively harnessing the information is essential for enhancing the safety, reliability, and efficiency of autonomous vehicles. In this article, we explore the pivotal role of visualization and visual analytics (VA) techniques used in autonomous driving. By employing sophisticated data visualization methods, VA, researchers, and practitioners transform intricate datasets into intuitive visual representations, providing valuable insights for decision-making processes. This article delves into various visualization approaches, including spatial-temporal mapping, interactive dashboards, and machine learning-driven analytics, tailored specifically for autonomous driving scenarios. Furthermore, it investigates the integration of real-time sensor data, sensor coordination with VA, and machine learning algorithms to create comprehensive visualizations. This research advocates for the pivotal role of visualization and VA in shaping the future of autonomous driving systems, fostering innovation, and ensuring the safe integration of self-driving vehicles."
"A map-based model-driven testing framework for automated driving systems","MECCA JOURNAL OF MIDDLE EUROPEAN CONSTRUCTION AND DESIGN OF CARS","2020","Vaculín, Ondřej; Gellrich, Michael; Matawa, Robert; Witschass, Steffen","10.14311/mecdc.2020.01.02",,
"High-definition map generation technologies for autonomous driving","THE INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY, REMOTE SENSING AND SPATIAL INFORMATION SCIENCES","2020","Tsushima, F.; Kishimoto, N.; Okada, Y.; Che, W.","10.5194/isprs-archives-xliii-b4-2020-415-2020","40732633","Trajectory prediction under multimodal information is critical for autonomous driving, necessitating the integration of dynamic vehicle states and static high-definition (HD) maps to model complex agent-scene interactions effectively. However, existing methods often employ static scene encodings and unstructured latent spaces, limiting their ability to capture evolving spatial contexts and produce diverse yet contextually coherent predictions. To tackle these challenges, we propose MS-SLV, a novel generative framework that introduces (1) a time-aware scene encoder that aligns HD map features with vehicle motion to capture evolving scene semantics and (2) a structured latent model that explicitly disentangles agent-specific intent and scene-level constraints. Additionally, we introduce an auxiliary lane prediction task to provide targeted supervision for scene understanding and improve latent variable learning. Our approach jointly predicts future trajectories and lane sequences, enabling more interpretable and scene-consistent forecasts. Extensive evaluations on the nuScenes dataset demonstrate the effectiveness of MS-SLV, achieving a 12.37% reduction in average displacement error and a 7.67% reduction in final displacement error over state-of-the-art methods. Moreover, MS-SLV significantly improves multi-modal prediction, reducing the top-5 Miss Rate (MR5) and top-10 Miss Rate (MR10) by 26% and 33%, respectively, and lowering the Off-Road Rate (ORR) by 3%, as compared with the strongest baseline in our evaluation."
"Automatic construction of HD maps for simulation-based testing of autonomous driving systems","INTERNATIONAL JOURNAL OF HIGHWAY ENGINEERING","2022","Park, Goan; Kim, Dokyun; Haider, Ibrahim; Choi, Jihyang","10.7855/ijhe.2022.24.2.041",,
"Vehicle Formation Reference Line Smoothing Method Based on Improved FemPosDeviation Algorithm","DESTECH TRANSACTIONS ON ENVIRONMENT, ENERGY AND EARTH SCIENCES","2019","Aijuan, Li; Wanzhong, Zhao; Xuyun, Qiu; Xibo, Wang; Xin, Huang; Baoyi, Wang","10.12783/dteees/iceee2018/27778","40892487","BackgroundHuman papillomavirus (HPV) is the most frequent sexually transmitted virus, with high importance due its oncogenic risk. Previous studies have reported an association between genital dysbiosis and HPV infection in women and also in men co-infected with HPV and HIV. However, it remains to be determined whether penile skin dysbiosis is associated with HPV infection in men who are HIV-negative. This study characterizes the penile skin microbiota (PSM) of HPV-positive and HPV-negative men, hypothesizing that HPV infection is linked to dysbiotic anaerobic-dominated communities.MethodsA cross-sectional study was conducted on 103 sexually active HIV-negative men (70 HPV-negative, 33 HPV-positive). Those who tested HPV-positive were genotyped. The PSM of all samples was analyzed using 16S rRNA sequencing of the V4 region. Alpha and beta diversity were compared. Community State Types (CSTs) were identified using hierarchical clustering. Associations between CSTs and HPV status were tested adjusting for sexual preference.ResultsHPV-positive men exhibited significantly higher microbial richness than HPV-negative men (Chao1 p = .02), particularly those with high-risk genotypes (Chao1 p = .03). Five CSTs were identified, with CST-5 (dominated by Finegoldia and other anaerobes) showing a three-fold higher likelihood of HPV positivity (OR = 3.11, 95% CI: 1.22-8.22) compared to other CSTs. CST-5 also displayed reduced abundance of commensals like Corynebacterium and Staphylococcus.ConclusionsSubclinical HPV infection in HIV-negative men was associated with a dysbiotic PSM, characterized by an increased abundance of anaerobic bacteria alongside with a reduced proportion of facultative anaerobic genera. These findings suggest that PSM composition may influence HPV susceptibility or persistence. Longitudinal studies are needed to explore causality."
"Mixed-integer motion planning on German roads within the Apollo driving stack","IEEE TRANSACTIONS ON INTELLIGENT VEHICLES","2023","Kessler, Tobias; Esterle, Klemens; Knoll, Alois","10.1109/tiv.2022.3162671","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"A survey of autonomous driving scenarios and scenario databases","IEEE TRANSACTIONS ON INTELLIGENT VEHICLES","2024","Guo, Yuqing; Guo, Zelin; Wang, Yazhou; Yao, Danya; Li, Bai; Li, Li","10.1109/tiv.2023.3337318","41252238","In human-machine (autonomous vehicles and robots) interaction scenarios, pedestrians often appear in groups. Pedestrian groups provide richer information compared to individuals, which helps address occlusion problems in pedestrian-machine interactions. However, the randomness and spatiotemporal complexity of pedestrian activity make pedestrian group activity recognition (PGAR) a highly challenging task. This article provides a detailed description of the PGAR task. For the first time, a definition of pedestrian group and activity for autonomous vehicles and robots is provided. Existing datasets and methods are systematically summarized. Furthermore, the unique challenges and trends in PGAR for autonomous vehicles and robots are outlined. Although some related surveys have been published, there has not yet been a survey specifically focused on PGAR in autonomous driving and robotics scenarios. Therefore, the goal of this article is to narrow the gap in this topic and provide a comprehensive reference for researchers in this field."
"Robust online path planning for autonomous vehicle using sequential quadratic programming","CHINESE JOURNAL OF MECHANICAL ENGINEERING","2012","Chen, Yang; Han, Jianda; Wu, Huaiyu","10.3901/cjme.2012.04.665","39305629","To achieve highly efficient and environmentally degradable adsorbents for Congo red (CR) removal, we synthesized a dual-network nanocomposite cryogel composed of gelatin/carboxymethyl cellulose, loaded with Fe3O4 nanoparticles. Gelatin and sodium carboxymethylcellulose were cross-linked using transglutaminase and calcium chloride, respectively. The cross-linking process enhanced the thermal stability of the composite cryogels. The CR adsorption process exhibited a better fit to the pseudo-second-order model and Langmuir model, with maximum adsorption capacity of 698.19 mg/g at pH of 7, temperature of 318 K, and initial CR concentration of 500 mg/L. Thermodynamic results indicated that the CR adsorption process was both spontaneous and endothermic. The performance of machine learning model showed that the Extreme Gradient Boosting model had the highest test determination coefficient (R2 = 0.9862) and the lowest root mean square error (RMSE = 10.3901 mg/g) among the 6 models. Feature importance analysis using SHapley Additive exPlanations (SHAP) revealed that the initial concentration had the greatest influence on the model's prediction of adsorption capacity. Density functional theory calculations indicated that there were active sites on the CR molecule that can undergo electrostatic interactions with the adsorbent. Thus, the synthesized cryogels demonstrate promising potential as adsorbents for dye removal from wastewater."
"Validation of automated driving function based on the apollo platform: A milestone for simulation with vehicle-in-the-loop testbed","VEHICLES","2023","Li, Hexuan; Makkapati, Vamsi Prakash; Wan, Li; Tomasch, Ernst; Hoschopf, Heinz; Eichberger, Arno","10.3390/vehicles5020039","41282813","Abstract

UNLABELLED
Plasmids are extrachromosomal mobile genetic elements that often carry genes responsible for antimicrobial resistance. Plasmid epidemiology aims to track the evolution and spread of plasmids, but the field currently faces significant barriers that make practical implementation using whole genome sequence data difficult. Hybrid-assembled genomes remain the most reliable way to identify and track complete plasmids; however, most genomic surveillance data exists in the form of short-read sequencing, which lacks the resolution required to accurately resolve plasmids. Despite recent advances, long-read-only assemblies have not yet reached the consistency seen in hybrid assemblies. The ideal approach to plasmid epidemiology using whole genome sequence data would consider the limitations of sequencing technologies and the constraints of existing genomic surveillance infrastructure, in addition to the unique evolutionary biology of plasmids. Here, we present ACCIO (Assembly-based Circular Contig Identification for Outbreaks), a tool which creates a reference plasmid database and uses it to infer which plasmids, and genetically related plasmid groupings, are present in an input assembly (Illumina, Nanopore, or hybrid assembly). We validated ACCIO using an internal dataset of 303 plasmid-harboring bacterial clinical and surveillance isolates collected from a single acute tertiary care center. When highly related database plasmids were grouped together, ACCIO achieved 100% sensitivity and 92.1% positive predictive value (PPV) for detection of plasmid groups using hybrid assemblies, and comparably strong performance for Illumina (93.0% sensitivity, 86.6% PPV) and Nanopore (79.3% sensitivity, 91.4% PPV) assemblies. Evaluation on three external datasets yielded consistently high performance. Finally, when benchmarked against MOB-suite, a tool for reconstruction and typing of plasmids, ACCIO demonstrated superior performance across nearly all assembly types and plasmid grouping levels. By integrating database construction, clustering, and plasmid calling into a single workflow compatible with all major sequencing platforms, ACCIO is intended to help advance plasmid epidemiology beyond its current technological and infrastructural barriers.

IMPACT STATEMENT
3.Detecting and tracking plasmids-the mobile genetic elements often responsible for spreading antimicrobial resistance in hospital settings-is challenging, particularly when relying on short-read sequencing data alone. Short-read genome assemblies, despite widespread use in surveillance of bacterial pathogens, inherently lack the resolution required for plasmid analyses. Current bioinformatic methods struggle to identify whole plasmids from short-read assemblies alone, and often, hybrid assembly using both short- and long-read data is required for the robust analyses that are essential for tracking plasmids.To address these challenges, we developed ACCIO, a bioinformatics tool which utilizes input genome assemblies (short-read, long-read, or hybrid assemblies) to assess the plasmid content of clinical bacterial isolates for epidemiologic purposes. We validated its use against the recovery of circular plasmid sequences from hybrid assembled genomes as a gold standard method for determining plasmid content. Using a curated local database of 430 plasmid sequences, ACCIO provided accurate inferences of plasmid content from short-read (Illumina), long-read (Oxford Nanopore Technologies), and hybrid assemblies (both), ultimately facilitating genomic surveillance of plasmids regardless of sequencing technology. This work represents a meaningful step forward in advancing plasmid surveillance beyond the technological and infrastructural barriers that limit its broader expansion into healthcare and other settings.

DATA SUMMARY
4.Short- and long-read sequencing data have been deposited in the NCBI Sequence Read Archive (SRA) under multiple BioProjects, and corresponding hybrid genome assemblies are available in GenBank. Accession numbers for all BioProjects, BioSamples, and SRA datasets are provided in Supplementary Data S1. All supporting data, software code, and experimental/analysis protocols are provided within the article or in supplementary data files. External validation of ACCIO used three external datasets (Cho et al. 2023, BioProjects PRJNA475751 and PRJNA874473, DOI: 10.1038/s41598-024-70540-1; Lipworth et al. 2024, BioProject: PRJNA604975, DOI: 10.1038/s41467-024-45761-7; Khezri et al. 2021, European Nucleotide Archive (ENA): PRJEB45084, DOI: 10.3390/microorganisms9122560).List of External Software:: MOB-suite (v3.1.9) - https://github.com/phac-nml/mob-suite Skani (v0.2.2) - https://github.com/bluenote-1577/skani Scipy (v1.16.1) - https://github.com/scipy/scipy Pling (v2.0.0) - https://github.com/iqbal-lab-org/pling MUMmer / NUCmer (v4.0.1) - https://mummer4.github.io/ Mash / Mash Screen (v2.3) - https://github.com/marbl/Mash SPAdes (v3.15.5) - https://github.com/ablab/spades Unicycler (v0.5.1) - https://github.com/rrwick/Unicycler Flye (v2.9.5) - https://github.com/mikolmogorov/Flye QUAST (v5.2.0) - https://github.com/ablab/quast Kraken2 (v2.1.3) - https://github.com/DerrickWood/kraken2 CheckM (v0.4) - https://github.com/Ecogenomics/CheckM Albacore/Guppy - [no longer officially hosted; was distributed by ONT] Guppy - https://nanoporetech.com/software/other/guppy Dorado - https://github.com/nanoporetech/dorado Bowtie2 (v2.5.4) - https://github.com/BenLangmead/bowtie2 Minimap2 (v2.28) - https://github.com/lh3/minimap2 Biopython (v1.85) - https://biopython.org/ Pandas (v2.3.1) - https://pandas.pydata.org/ Plasme (v1.1) - https://github.com/HubertTang/PLASMe BLAST(v2.17.0) - https://blast.ncbi.nlm.nih.gov/Blast.cgi."
"Robust path planner for autonomous vehicles on roads with large curvature","IEEE ROBOTICS AND AUTOMATION LETTERS","2022","Sun, Yuchen; Ren, Dongchun; Lian, Shiqi; Fu, Sheng; Teng, Xiangyi; Fan, Mingyu","10.1109/lra.2022.3143294","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"Safety Analysis of Automated Driving Platforms Using Digital Twin Simulation and Runtime Monitoring","IEEE TRANSACTIONS ON RELIABILITY","2025","Tran, Duong Dinh; Tomita, Takashi; Aoki, Toshiaki","10.1109/tr.2025.3561455","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"A study on high definition maps' standards and specifications for autonomous vehicles","ATZ WORLDWIDE","2018","Strijbosch, Willem","10.1007/s38311-018-0166-9","41287838","Abstract

UNLABELLED
Fifteen organochlorine pesticides (OCPs) were determined in sediments from 14 sites in upper, middle and lower reaches of River Rwizi. Duplicate samples were collected at each site, during three sampling regimes covering the wet and dry seasons. Sediments were extracted using acetone: hexane (1:1 mixture) and clean-up was achieved using C18 cartridge. OCPs were determined using gas chromatography-mass spectrometry (GC-MS). Principal component analysis (PCA) was used to assess spatial relationships. To assess ecological health risk, the risk quotient (RQ) based on exposure and toxicity was calculated. Hazard index (HI), based on the sum of ratios of the OCP doses to permitted levels was calculated assess risk to human health. Recoveries of 54.4-93%, linearity (R2) > 0.9988, limits of detection (LoD) of 0.34-0.66 ng/kg and limits of quantification (LoQ) of 1.02-2.01 ng/kg were obtained during method validation. The total OCPs concentration was 84.34-159.5 µg/kg dry weight. Presence of OCPs in the sediment may be attributed to environmental persistence, however the presence of endosulfans implies continuing input since they have a relatively short half-life. Ecological risk quotient (RQ) values were 0.01-9780.37 while hazard index (HI) values were all less than 1. The HI for dermal exposure in children was 0.2695 and in adults it was 0.1497, exceeding the negligible risk threshold of H < 0.1. While the risk to human health was low, the high risk posed to ecology by heptachlor (RQ = 9780.37) and endosulfan II (RQ = 835.98) requires immediate mitigation.

SUPPLEMENTARY INFORMATION
The online version contains supplementary material available at 10.1007/s44274-025-00465-7."
"Doppelgänger test generation for revealing bugs in autonomous driving software","ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY","2024","Zohdinasab, Tahereh; Riccio, Vincenzo; Tonella, Paolo","10.1145/3664605","40727313","In software engineering, models are used for many different things. In this paper, we focus on program verification, where we use models to reason about the correctness of systems. There are many different types of program verification techniques which provide different correctness guarantees. We investigate the domain of program verification tools and present a concise megamodel to distinguish these tools. We also present a data set of 400+ program verification tools. This data set includes the category of verification tool according to our megamodel, practical information such as input/output format, repository links and more. The practical information, such as last commit date, is kept up to date through the use of APIs. Moreover, part of the data extraction has been automated to make it easier to expand the data set. The categorisation enables software engineers to find suitable tools, investigate alternatives and compare tools. We also identify trends for each level in our megamodel. Our data set, publicly available at https://doi.org/10.4121/20347950, can be used by software engineers to enter the world of program verification and find a verification tool based on their requirements. This paper is an extended version of https://doi.org/10.1145/3550355.3552426."
"Design of A Two-point Steering Path Planner Using Geometric Control","JOURNAL OF MECHANICAL DESIGN","2000","Chen, Shiang-Fong; Deng, Jiansong","10.1115/1.1288403","38635229","In this erratum, we correct a mistake in a subcomponent of the numerical algorithm proposed in our recent study for modeling anisotropic reactive nonlinear viscoelasticity (doi:10.1115/1.4054983), for the special case where multiple weak bond families may be recruited with loading. This correction overcomes a nonphysical response noted under uni-axial cyclical loading."
"Trajectory planning of autonomous vehicle based on Frenét frame system","TRANSPORTATION RESEARCH PART E: LOGISTICS AND TRANSPORTATION REVIEW","2022","Li, Qianwen; Li, Xiaopeng","10.1016/j.tre.2022.102886","41285133",
